ID;Tipo;Placa;Marca;Modelo;Ano Fabricação;Ano Modelo;Frota;Empresa (SNE);Cidade;Lotação; Valor de Locação 
1;VEICULO LEVE;RIE1I72;FIAT;MOBI LIKE 1.0;2021;2021;KM - RENTAL;SETE COPA;FORTALEZA;KM ADM; R$ -   
2;VEICULO LEVE;RIE2F72;FIAT;MOBI LIKE 1.0;2021;2021;KM - RENTAL;SETE COPA;FORTALEZA;KM ADM; R$ -   
3;VEICULO LEVE;RID5I11;VW;VW/GOL 1.6L MB5;2020;2021;KM - RENTAL;VIA ROYALE;MASSAPE;SECRET. SAÚDE; R$ 2.500,00 
4;VEICULO LEVE;POS9A33;VW;GOL 1.6 MB5;2020;2021;KM - RENTAL;SETE COPA;ACARAU;SEC DE SAÚDE; R$ 1.900,00 
5;VEICULO LEVE;PND6734;VW;VOYAGE IL MBV;2017;2018;KM - RENTAL;ECLIPSE;FORTALEZA;UPA; R$ 2.500,00 
6;CAMINHONETE;RGG5A69;TOYOTA;SWSRXA4FD;2020;2020;KM - RENTAL;MP SERVIÇOS;CAMOCIM;GABINETE - CAMOCIM; R$ -   
7;CAMINHONETE;PEK2E61;TOYOTA;TOYOTA HILUX CD4X4 SRV;2011;2012;KM - RENTAL;ALFA;FORTALEZA;KM ADM - RODRIGO; R$ -   
8;CAMINHONETE;SBC7G01;MMC;L200 TRITON SPORT GLS 2.4 D 4X4 AT PRET;2022;2023;KM - RENTAL;DINAMIC;FORTALEZA;FORTALEZA; R$ -   
9;CAMINHONETE;RID9A88;MMC;L200 TRITON OUTDOOR AUT;2021;2022;KM - RENTAL;PAULO EDUARDO;SÃO GONÇALO;DEMUTRAN; R$ 7.000,00 
10;CAMINHONETE;POZ2A23;MMC;L200 TRITON OUTDOOR;2020;2020;KM - RENTAL;VIA ROYALE;RUSSAS;GUARDA; R$ 9.000,00 
11;CAMINHONETE;SBS8H97;MMC;L200 TRITON SPORT GLS 2.4 D 4X4 AT AZUL;2022;2023;KM - RENTAL;VIA ROYALE;FORTALEZA;KM RENTAL; R$ -   
12;UTILITARIO;PNQ0A12;FIAT;STRADA ENDURANCE CD;2020;2021;KM - RENTAL;VIA ROYALE;RUSSAS;SECRET. SAÚDE; R$ 3.350,00 
13;UTILITARIO;OZA6120;FIAT;STRADA WORKING CD - DUPLA;2015;2016;KM - RENTAL;ECLIPSE;ITAPIPOCA;MARK - ADMINISTRATIVO; R$ -   
14;UTILITARIO;RID7G11;VW;SAVEIRO RB MBVS 1.6 FLEX 8V;2020;2021;KM - RENTAL;DINAMIC;FORTALEZA;KM ADM; R$ -   
15;VEICULO LEVE;PMB5I40;FIAT;PALIO FIRE;2014;2015;KM - RENTAL;EDNARDO;ITAPIPOCA;EDSON - ENGENHEIRO; R$ -   
16;MOTOCICLETA;PNK9491;HONDA;MOTO HONDA/CG 160;2016;2017;KM - RENTAL;ECLIPSE;FORTALEZA;KM ERIVANDO; R$ -   
17;MOTOCICLETA;POR6557;HONDA;MOTO HONDA/FAN 160;2018;2018;KM - RENTAL;ECLIPSE;FORTALEZA;KM - RODRIGO; R$ -   
18;MOTOCICLETA;PMB6020;HONDA;MOTO HONDA/FAN 125;2016;2017;KM - RENTAL;MARK;MASSAPE;COLETA DE LIXO; R$ 600,00 
19;CAMINHONETE;RIG3A55;NISSAN;FRONTIER ATK X4;2021;2021;KM - RENTAL;DINAMIC;SÃO GONÇALO;MEIO AMBIENTE; R$ 7.000,00 
20;CAMINHONETE;RII0G95;NISSAN;FRONTIER XE X4;2021;2021;KM - RENTAL;PAULINO MARTINS DE ANDRADE NETO;MASSAPE;GILSON CONTABILIDADE; R$ 9.000,00 
21;VEICULO LEVE;PNI3455;CHEVROLET;COBALT 1.8 LTZ;2017;2018;KM - RENTAL;KM RENTAL;MASSAPE;GILSON FINANÇAS; R$ 3.000,00 
22;VEICULO LEVE;PNJ4225;CHEVROLET;COBALT 1.8 LTZ;2017;2018;KM - RENTAL;KM RENTAL;FORTALEZA;RODRIGO ILARIO; R$ -   
23;CAMINHONETE;PNZ1737;RENAULT;DUSTER EXPRESSION 1.6 4X2 Y1 KCH JH;2017;2018;KM - RENTAL;KM RENTAL;FORTALEZA;FORTALEZA; R$ -   
24;UTILITARIO;PMZ6213;VW;NOVA SAVEIRO RB MBVS;2018;2018;KM - RENTAL;DINAMIC;ITAPIPOCA;MARK - OPERACIONAL; R$ -   
25;CAMINHÃO;KYU9I03;VW;8.160 DRC 4X2;2018;2019;KM - RENTAL;J P SERVIÇOS;BEBERIBE;ILUMINAÇÃO - BEBERIBE; R$ 12.000,00 
26;CAMINHÃO;LTI5I21;VW;8.160 DRC 4X2;2018;2019;KM - RENTAL;MARK;CAMOCIM;ILUMINAÇÃO - CAMOCIM; R$ 12.000,00 
27;CAMINHÃO;KYU9H98;VW;8.160 DRC 4X2;2018;2019;KM - RENTAL;MARK;ITAPIPOCA;ILUMINAÇÃO - ITAPIPOCA; R$ 12.000,00 
28;REBOQUE;PNA6113;R;R/FEDERAL CA - CARGA REBOQUE;2016;2016;KM - RENTAL;DANIEL MENEZES;FORTALEZA;CASA RODRIGO KM; R$ -   
29;UTILITARIO;RIJ2H15;TROLLER;T4 XLT AT;2021;2021;KM - RENTAL;VIA ROYALE;SÃO GONÇALO;DEMUTRAN; R$ 7.000,00 
30;CAMINHONETE;RIL3B64;CHEVROLET;S10 LS DS4;2021;2022;KM - RENTAL;DINAMIC;ITAPIPOCA;ILUMINAÇÃO - ITAPIPOCA; R$ 12.000,00 
31;CAMINHONETE;RIL3A74;CHEVROLET;S10 LS DS4;2021;2022;KM - RENTAL;DINAMIC;CAMOCIM;ILUMINAÇÃO - CAMOCIM; R$ 8.000,00 
32;CAMINHONETE;RJI5H46;TOYOTA;HILUX SWSRXA 4FD;2021;2022;MARK;ERICA VIDAL;FORTALEZA;DIRETORA - ÉRICA; R$ -   
33;CAMINHONETE;SAW1C32;NISSAN;FRONTIER P4X AT;2022;2023;KM - RENTAL;CONST. MONTE CRISTO;RUSSAS;GABINETE DO VICE PREFEITO; R$ 10.000,00 
34;UTILITARIO;EZI7B32;TOYOTA;HILUX SWSRXA DIAMOND;2022;2022;KM - RENTAL;ROBERTA MARKAN;FORTALEZA;DRA ROBERTA MARKAN; R$ -   
35;CAMINHONETE;SBG6C38;NISSAN;FRONTIER SE X4;2022;2023;KM - RENTAL;ECLIPSE;URUBURETAMA;GABINETE - PREFEITA; R$ 7.000,00 
36;CAMINHONETE;SAO3C32;MITSUBISHI;PAJERO SPORT HPE 2.4 DI-D 4X4 AT;2023;2024;KM - RENTAL;VIA ROYALE;FORTALEZA;DIRETOR DANIEL; R$ -   
37;CAMINHONETE;RIA5I32;FIAT;TORO VOLC AT9 4X4;2023;2024;KM - RENTAL;VIA ROYALE;FORTALEZA;DIRETOR DANIEL; R$ -   
38;CAMINHONETE;RIK2E09;TOYOTA;SW4 DSL 4X4 SRX AT 7S;2023;2024;KM - RENTAL;DINAMIC;RUSSAS;GABINETE DO PREFEITO; R$ 10.000,00 
